"v"	"v2"	"first"	"second"	"palindromatic"
"co"	"oc"	60796	210633	FALSE
"cod"	"doc"	61670	90578	FALSE
"col"	"loc"	62617	174263	FALSE
"com"	"moc"	63577	190987	FALSE
"cor"	"roc"	68765	273630	FALSE
"corp"	"proc"	69507	251119	FALSE
"cos"	"soc"	69928	296081	FALSE
"cp"	"pc"	71759	228309	FALSE
"cr"	"rc"	71771	261384	FALSE
"cram"	"marc"	71964	179865	FALSE
"cran"	"narc"	72012	196918	FALSE
"crap"	"parc"	72162	226243	FALSE
"crc"	"crc"	72353	72353	TRUE
"cro"	"orc"	73527	214090	FALSE
"crop"	"porc"	73717	243351	FALSE
"cs"	"sc"	74341	279276	FALSE
"csc"	"csc"	74343	74343	TRUE
"ct"	"tc"	74354	317384	FALSE
"cte"	"etc"	74355	104812	FALSE
"ctg"	"gtc"	74390	130634	FALSE
"cto"	"otc"	74394	215826	FALSE
"cu"	"uc"	74398	333599	FALSE
"cud"	"duc"	74585	93714	FALSE
"cul"	"luc"	74693	175769	FALSE
"cure"	"eruc"	75265	104027	FALSE
"cv"	"vc"	75895	357601	FALSE
"d"	"d"	75938	75938	TRUE
"dace"	"ecad"	75969	95074	FALSE
"dad"	"dad"	76086	76086	TRUE
"dae"	"ead"	76124	94677	FALSE
"daer"	"read"	76149	261553	FALSE
"dag"	"gad"	76186	120842	FALSE
"dags"	"sgad"	76225	286986	FALSE
"dah"	"had"	76237	131917	FALSE
"dahs"	"shad"	76258	287042	FALSE
"day"	"yad"	76259	145504	FALSE
"dairt"	"triad"	76383	329086	FALSE
"dal"	"lad"	76435	167145	FALSE
"dam"	"mad"	76498	177149	FALSE
"damon"	"nomad"	76612	200832	FALSE
"dan"	"nad"	76657	196474	FALSE
"dao"	"oad"	76842	209857	FALSE
"dap"	"pad"	76844	222799	FALSE
"daps"	"spad"	76880	298192	FALSE
"dar"	"rad"	76882	259491	FALSE
"daraf"	"farad"	76885	109842	FALSE
"dard"	"drad"	76898	92483	FALSE
"darg"	"grad"	76920	128515	FALSE
"dart"	"trad"	77021	327239	FALSE
"darter"	"retrad"	77026	270645	FALSE
"darts"	"strad"	77044	305602	FALSE
"das"	"sad"	77061	276443	FALSE
"dat"	"tad"	77139	315158	FALSE
"daud"	"duad"	77242	93641	FALSE
